,categoria_produto,data_compra,produto_nome
1524,gadgets,2022/01/06,Assistente virtual
1525,livros,2022/01/06,Modelagem preditiva
1526,gadgets,2022/01/06,Celular Plus X42
1527,moveis,2022/01/06,Guarda roupas
1528,moveis,2022/01/06,Cômoda
1529,gadgets,2022/01/06,Smart TV
1530,instrumentos musicais,2022/01/06,Guitarra
1531,instrumentos musicais,2023/01/06,Violão
1532,moveis,2023/01/06,Mesa de centro
1533,gadgets,2023/01/06,Celular ABXY
1534,utilidades domesticas,2023/01/06,Jogo de copos
1535,utilidades domesticas,2023/01/06,Faqueiro
1536,instrumentos musicais,2023/01/06,Guitarra
1537,gadgets,2023/01/06,Tablet ABXY
1538,moveis,2020/02/06,Kit banquetas
1539,utilidades domesticas,2020/02/06,Panela de pressão
1540,esporte e lazer,2020/02/06,Corda de pular
1541,gadgets,2020/02/06,Smartwatch
1542,brinquedos,2020/02/06,Cubo mágico 8x8
1543,eletrodomesticos,2020/02/06,Secadora de roupas
1544,livros,2020/02/06,Modelagem preditiva
1545,esporte e lazer,2020/02/06,Corda de pular
1546,brinquedos,2020/02/06,Jogo de tabuleiro
1547,eletrodomesticos,2020/02/06,Micro-ondas
1548,gadgets,2020/02/06,Celular Plus X42
1549,eletrodomesticos,2020/02/06,Secadora de roupas
1550,livros,2020/02/06,Dashboards com Power BI
1551,esporte e lazer,2020/02/06,Bola de vôlei
1552,utilidades domesticas,2020/02/06,Jogo de copos
1553,brinquedos,2020/02/06,Xadrez de madeira
1554,moveis,2020/02/06,Guarda roupas
1555,eletrodomesticos,2020/02/06,Lava louças
1556,brinquedos,2021/02/06,Boneca bebê
1557,eletrodomesticos,2021/02/06,Geladeira
1558,gadgets,2021/02/06,Fone de ouvido
1559,gadgets,2021/02/06,Celular Plus X42
1560,gadgets,2021/02/06,Impressora
1561,brinquedos,2021/02/06,Boneca bebê
1562,gadgets,2021/02/06,Fone de ouvido
1563,moveis,2021/02/06,Poltrona
1564,gadgets,2021/02/06,Smart TV
1565,livros,2021/02/06,Dashboards com Power BI
1566,livros,2022/02/06,Dashboards com Power BI
1567,esporte e lazer,2022/02/06,Copo térmico
1568,utilidades domesticas,2022/02/06,Jogo de copos
1569,eletrodomesticos,2022/02/06,Lava louças
1570,brinquedos,2022/02/06,Carrinho controle remoto
1571,moveis,2023/02/06,Cama king
1572,instrumentos musicais,2023/02/06,Violão
1573,moveis,2023/02/06,Poltrona
1574,brinquedos,2023/02/06,Carrinho controle remoto
1575,moveis,2023/02/06,Cadeira de escritório
1576,instrumentos musicais,2020/03/06,Pandeiro
1577,moveis,2020/03/06,Cama box
1578,moveis,2020/03/06,Poltrona
1579,utilidades domesticas,2020/03/06,Panela de pressão
1580,esporte e lazer,2020/03/06,Bola de basquete
1581,eletrodomesticos,2020/03/06,Secadora de roupas
1582,livros,2020/03/06,Dashboards com Power BI
1583,instrumentos musicais,2021/03/06,Violão
1584,esporte e lazer,2021/03/06,Bola de vôlei
1585,moveis,2021/03/06,Cadeira de escritório
1586,eletrodomesticos,2021/03/06,Micro-ondas
1587,gadgets,2021/03/06,Fone de ouvido
1588,moveis,2021/03/06,Cama king
1589,brinquedos,2021/03/06,Jogo de tabuleiro
1590,gadgets,2021/03/06,Tablet ABXY
1591,gadgets,2022/03/06,Smart TV
1592,gadgets,2022/03/06,Assistente virtual
1593,brinquedos,2022/03/06,Carrinho controle remoto
1594,moveis,2022/03/06,Kit banquetas
1595,brinquedos,2022/03/06,Cubo mágico 8x8
1596,instrumentos musicais,2022/03/06,Violão
1597,brinquedos,2022/03/06,Carrinho controle remoto
1598,esporte e lazer,2022/03/06,Corda de pular
1599,gadgets,2022/03/06,Celular Plus X42
1600,instrumentos musicais,2022/03/06,Pandeiro
1601,eletrodomesticos,2022/03/06,Lavadora de roupas
1602,moveis,2023/03/06,Poltrona
1603,utilidades domesticas,2023/03/06,Jogo de panelas
1604,gadgets,2023/03/06,Smart TV
1605,moveis,2023/03/06,Kit banquetas
1606,livros,2023/03/06,Dashboards com Power BI
1607,esporte e lazer,2023/03/06,Bicicleta
1608,moveis,2023/03/06,Kit banquetas
1609,esporte e lazer,2023/03/06,Mochila
1610,livros,2020/04/06,Ciência de dados com python
1611,utilidades domesticas,2020/04/06,Jogo de panelas
1612,eletrodomesticos,2020/04/06,Secadora de roupas
1613,instrumentos musicais,2020/04/06,Violão
1614,esporte e lazer,2020/04/06,Bicicleta
1615,livros,2020/04/06,Dashboards com Power BI
1616,brinquedos,2020/04/06,Carrinho controle remoto
1617,eletrodomesticos,2021/04/06,Fogão
1618,instrumentos musicais,2021/04/06,Bateria
1619,livros,2021/04/06,Iniciando em programação
1620,gadgets,2021/04/06,TV Led UHD 4K
1621,esporte e lazer,2021/04/06,Bicicleta
1622,gadgets,2021/04/06,Smartwatch
1623,gadgets,2022/04/06,Assistente virtual
1624,moveis,2022/04/06,Sofá retrátil
1625,eletrodomesticos,2022/04/06,Secadora de roupas
1626,moveis,2022/04/06,Mesa de jantar
1627,livros,2022/04/06,Ciência de dados com python
1628,livros,2022/04/06,Modelagem preditiva
1629,moveis,2022/04/06,Mesa de centro
1630,livros,2022/04/06,Dashboards com Power BI
1631,gadgets,2022/04/06,Celular ABXY
1632,brinquedos,2020/05/06,Carrinho controle remoto
1633,eletrodomesticos,2020/05/06,Secadora de roupas
1634,gadgets,2020/05/06,Celular ABXY
1635,brinquedos,2020/05/06,Blocos de montar
1636,brinquedos,2020/05/06,Carrinho controle remoto
1637,utilidades domesticas,2020/05/06,Panela de pressão
1638,moveis,2020/05/06,Cadeira de escritório
1639,eletrodomesticos,2021/05/06,Fogão
1640,brinquedos,2021/05/06,Xadrez de madeira
1641,gadgets,2021/05/06,Smartwatch
1642,brinquedos,2022/05/06,Xadrez de madeira
1643,utilidades domesticas,2022/05/06,Panela de pressão
1644,brinquedos,2022/05/06,Jogo de tabuleiro
1645,moveis,2022/05/06,Cama king
1646,eletrodomesticos,2022/05/06,Secadora de roupas
1647,moveis,2022/05/06,Cama box
1648,esporte e lazer,2022/05/06,Bicicleta
1649,eletrodomesticos,2022/05/06,Lava louças
1650,instrumentos musicais,2022/05/06,Violão
1651,eletrodomesticos,2022/05/06,Lava louças
1652,moveis,2020/06/06,Poltrona
1653,eletrodomesticos,2020/06/06,Micro-ondas
1654,instrumentos musicais,2020/06/06,Violão
1655,utilidades domesticas,2020/06/06,Panela de pressão
1656,gadgets,2020/06/06,Fone de ouvido
1657,brinquedos,2021/06/06,Jogo de tabuleiro
1658,eletrodomesticos,2021/06/06,Micro-ondas
1659,gadgets,2021/06/06,Headset
1660,gadgets,2021/06/06,TV Led UHD 4K
1661,gadgets,2021/06/06,Headset
1662,esporte e lazer,2021/06/06,Copo térmico
1663,brinquedos,2021/06/06,Xadrez de madeira
1664,brinquedos,2021/06/06,Cubo mágico 8x8
1665,moveis,2021/06/06,Cama box
1666,gadgets,2022/06/06,TV Led UHD 4K
1667,gadgets,2022/06/06,Impressora
1668,brinquedos,2022/06/06,Xadrez de madeira
1669,eletrodomesticos,2022/06/06,Lava louças
1670,esporte e lazer,2022/06/06,Bola de vôlei
1671,brinquedos,2022/06/06,Jogo de tabuleiro
1672,gadgets,2022/06/06,TV Led UHD 4K
1673,eletrodomesticos,2022/06/06,Micro-ondas
1674,gadgets,2022/06/06,Smartwatch
1675,instrumentos musicais,2020/07/06,Pandeiro
1676,utilidades domesticas,2020/07/06,Faqueiro
1677,gadgets,2020/07/06,TV Led UHD 4K
1678,gadgets,2020/07/06,Smartwatch
1679,eletrodomesticos,2020/07/06,Fogão
1680,brinquedos,2020/07/06,Boneca bebê
1681,utilidades domesticas,2020/07/06,Faqueiro
1682,gadgets,2020/07/06,Fone de ouvido
1683,brinquedos,2020/07/06,Boneca bebê
1684,instrumentos musicais,2021/07/06,Pandeiro
1685,brinquedos,2021/07/06,Jogo de tabuleiro
1686,esporte e lazer,2021/07/06,Bola de vôlei
1687,instrumentos musicais,2021/07/06,Pandeiro
1688,moveis,2021/07/06,Mesa de centro
1689,esporte e lazer,2021/07/06,Bicicleta
1690,moveis,2021/07/06,Mesa de jantar
1691,gadgets,2021/07/06,Headset
1692,eletrodomesticos,2021/07/06,Lava louças
1693,esporte e lazer,2021/07/06,Copo térmico
1694,utilidades domesticas,2021/07/06,Panela de pressão
1695,utilidades domesticas,2021/07/06,Faqueiro
1696,gadgets,2021/07/06,TV Led UHD 4K
1697,brinquedos,2021/07/06,Jogo de tabuleiro
1698,eletrodomesticos,2021/07/06,Secadora de roupas
1699,esporte e lazer,2022/07/06,Copo térmico
1700,moveis,2022/07/06,Mesa de centro
1701,eletrodomesticos,2022/07/06,Fogão
1702,gadgets,2022/07/06,Impressora
1703,moveis,2020/08/06,Cadeira de escritório
1704,esporte e lazer,2020/08/06,Bola de basquete
1705,gadgets,2021/08/06,Impressora
1706,moveis,2021/08/06,Kit banquetas
1707,eletrodomesticos,2021/08/06,Micro-ondas
1708,moveis,2021/08/06,Cama box
1709,brinquedos,2021/08/06,Blocos de montar
1710,eletrodomesticos,2021/08/06,Lavadora de roupas
1711,esporte e lazer,2021/08/06,Bicicleta
1712,brinquedos,2021/08/06,Boneca bebê
1713,livros,2021/08/06,Modelagem preditiva
1714,eletrodomesticos,2022/08/06,Fogão
1715,esporte e lazer,2022/08/06,Bola de vôlei
1716,esporte e lazer,2022/08/06,Bicicleta
1717,gadgets,2022/08/06,Celular Plus X42
1718,gadgets,2022/08/06,Impressora
1719,esporte e lazer,2020/09/06,Bola de vôlei
1720,moveis,2020/09/06,Poltrona
1721,brinquedos,2020/09/06,Blocos de montar
1722,brinquedos,2020/09/06,Cubo mágico 8x8
1723,brinquedos,2020/09/06,Blocos de montar
1724,esporte e lazer,2020/09/06,Bola de vôlei
1725,eletrodomesticos,2020/09/06,Micro-ondas
1726,moveis,2020/09/06,Mesa de centro
1727,moveis,2020/09/06,Kit banquetas
1728,moveis,2020/09/06,Sofá retrátil
1729,livros,2020/09/06,Iniciando em programação
1730,utilidades domesticas,2020/09/06,Jogo de panelas
1731,brinquedos,2021/09/06,Xadrez de madeira
1732,moveis,2021/09/06,Mesa de centro
1733,instrumentos musicais,2021/09/06,Violão
1734,gadgets,2021/09/06,Headset
1735,livros,2021/09/06,Dashboards com Power BI
1736,esporte e lazer,2021/09/06,Bola de vôlei
1737,gadgets,2021/09/06,Impressora
1738,moveis,2021/09/06,Poltrona
1739,moveis,2021/09/06,Guarda roupas
1740,moveis,2022/09/06,Poltrona
1741,moveis,2022/09/06,Mesa de centro
1742,eletrodomesticos,2022/09/06,Micro-ondas
1743,brinquedos,2022/09/06,Carrinho controle remoto
1744,livros,2022/09/06,Dashboards com Power BI
1745,moveis,2020/10/06,Guarda roupas
1746,moveis,2020/10/06,Kit banquetas
1747,brinquedos,2020/10/06,Blocos de montar
1748,gadgets,2020/10/06,Impressora
1749,livros,2020/10/06,Ciência de dados com python
1750,moveis,2020/10/06,Poltrona
1751,livros,2020/10/06,Dashboards com Power BI
1752,moveis,2020/10/06,Kit banquetas
1753,brinquedos,2021/10/06,Boneca bebê
1754,gadgets,2021/10/06,Tablet ABXY
1755,brinquedos,2021/10/06,Dinossauro Rex
1756,moveis,2021/10/06,Cômoda
1757,eletrodomesticos,2021/10/06,Lavadora de roupas
1758,esporte e lazer,2021/10/06,Bola de basquete
1759,instrumentos musicais,2022/10/06,Guitarra
1760,eletrodomesticos,2022/10/06,Fogão
1761,gadgets,2022/10/06,Celular Plus X42
1762,gadgets,2022/10/06,Celular ABXY
1763,utilidades domesticas,2022/10/06,Faqueiro
1764,utilidades domesticas,2022/10/06,Jogo de copos
1765,moveis,2020/11/06,Mesa de centro
1766,instrumentos musicais,2020/11/06,Violão
1767,livros,2020/11/06,Dashboards com Power BI
1768,moveis,2020/11/06,Kit banquetas
1769,moveis,2020/11/06,Poltrona
1770,esporte e lazer,2020/11/06,Corda de pular
1771,esporte e lazer,2020/11/06,Corda de pular
1772,gadgets,2020/11/06,Smart TV
1773,eletrodomesticos,2021/11/06,Micro-ondas
1774,instrumentos musicais,2021/11/06,Violão
1775,esporte e lazer,2021/11/06,Bola de vôlei
1776,gadgets,2021/11/06,Headset
1777,brinquedos,2021/11/06,Dinossauro Rex
1778,livros,2021/11/06,Ciência de dados com python
1779,gadgets,2021/11/06,Impressora
1780,eletrodomesticos,2021/11/06,Geladeira
1781,brinquedos,2021/11/06,Carrinho controle remoto
1782,moveis,2021/11/06,Cadeira de escritório
1783,moveis,2021/11/06,Mesa de centro
1784,gadgets,2021/11/06,Impressora
1785,moveis,2021/11/06,Mesa de jantar
1786,esporte e lazer,2021/11/06,Bola de basquete
1787,moveis,2021/11/06,Kit banquetas
1788,moveis,2022/11/06,Sofá retrátil
1789,brinquedos,2022/11/06,Carrinho controle remoto
1790,esporte e lazer,2022/11/06,Bola de basquete
1791,brinquedos,2022/11/06,Blocos de montar
1792,moveis,2022/11/06,Cama king
1793,gadgets,2022/11/06,Headset
1794,instrumentos musicais,2022/11/06,Bateria
1795,moveis,2022/11/06,Sofá retrátil
1796,utilidades domesticas,2022/11/06,Jogo de copos
1797,moveis,2020/12/06,Cadeira de escritório
1798,esporte e lazer,2020/12/06,Corda de pular
1799,utilidades domesticas,2020/12/06,Panela de pressão
1800,moveis,2020/12/06,Cama king
1801,esporte e lazer,2020/12/06,Bola de basquete
1802,instrumentos musicais,2020/12/06,Violão
1803,moveis,2020/12/06,Guarda roupas
1804,eletrodomesticos,2020/12/06,Geladeira
1805,eletrodomesticos,2020/12/06,Geladeira
1806,brinquedos,2020/12/06,Carrinho controle remoto
1807,brinquedos,2020/12/06,Jogo de tabuleiro
1808,instrumentos musicais,2021/12/06,Bateria
1809,esporte e lazer,2021/12/06,Mochila
1810,eletrodomesticos,2021/12/06,Geladeira
1811,eletrodomesticos,2021/12/06,Secadora de roupas
1812,moveis,2021/12/06,Guarda roupas
1813,gadgets,2021/12/06,Celular ABXY
1814,moveis,2021/12/06,Cama king
1815,eletrodomesticos,2021/12/06,Secadora de roupas
1816,gadgets,2021/12/06,Assistente virtual
1817,gadgets,2021/12/06,Smartwatch
1818,gadgets,2021/12/06,Smart TV
1819,eletrodomesticos,2021/12/06,Lava louças
1820,gadgets,2021/12/06,Celular Plus X42
1821,esporte e lazer,2022/12/06,Corda de pular
1822,moveis,2022/12/06,Mesa de jantar
1823,esporte e lazer,2022/12/06,Bola de basquete
1824,instrumentos musicais,2022/12/06,Guitarra
1825,eletrodomesticos,2022/12/06,Geladeira
1826,livros,2022/12/06,Iniciando em programação
1827,eletrodomesticos,2022/12/06,Fogão
1828,instrumentos musicais,2022/12/06,Pandeiro
1829,moveis,2022/12/06,Cômoda
1830,eletrodomesticos,2020/01/07,Geladeira
1831,gadgets,2020/01/07,Celular Plus X42
1832,utilidades domesticas,2020/01/07,Jogo de panelas
1833,utilidades domesticas,2020/01/07,Panela de pressão
1834,utilidades domesticas,2020/01/07,Panela de pressão
1835,gadgets,2020/01/07,Smart TV
1836,instrumentos musicais,2020/01/07,Bateria
1837,gadgets,2020/01/07,TV Led UHD 4K
1838,esporte e lazer,2020/01/07,Mochila
1839,gadgets,2020/01/07,Assistente virtual
1840,gadgets,2020/01/07,Smartwatch
1841,eletrodomesticos,2020/01/07,Secadora de roupas
1842,utilidades domesticas,2021/01/07,Faqueiro
1843,brinquedos,2021/01/07,Cubo mágico 8x8
1844,moveis,2021/01/07,Cama box
1845,instrumentos musicais,2021/01/07,Violão
1846,livros,2021/01/07,Ciência de dados com python
1847,gadgets,2021/01/07,Impressora
1848,gadgets,2021/01/07,Celular ABXY
1849,gadgets,2021/01/07,Smartwatch
1850,eletrodomesticos,2022/01/07,Fogão
1851,brinquedos,2022/01/07,Blocos de montar
1852,brinquedos,2022/01/07,Dinossauro Rex
1853,gadgets,2022/01/07,Impressora
1854,gadgets,2022/01/07,Smartwatch
1855,moveis,2022/01/07,Mesa de centro
1856,gadgets,2022/01/07,Impressora
1857,eletrodomesticos,2022/01/07,Geladeira
1858,brinquedos,2022/01/07,Jogo de tabuleiro
1859,moveis,2022/01/07,Kit banquetas
1860,gadgets,2022/01/07,Smart TV
1861,brinquedos,2022/01/07,Cubo mágico 8x8
1862,moveis,2023/01/07,Cômoda
1863,eletrodomesticos,2023/01/07,Fogão
1864,livros,2023/01/07,Ciência de dados com python
1865,eletrodomesticos,2023/01/07,Secadora de roupas
1866,brinquedos,2023/01/07,Carrinho controle remoto
1867,moveis,2020/02/07,Cama box
1868,esporte e lazer,2020/02/07,Bola de basquete
1869,esporte e lazer,2020/02/07,Bola de vôlei
1870,moveis,2020/02/07,Cômoda
1871,gadgets,2020/02/07,Headset
1872,esporte e lazer,2020/02/07,Bicicleta
1873,brinquedos,2020/02/07,Dinossauro Rex
1874,moveis,2021/02/07,Mesa de jantar
1875,utilidades domesticas,2021/02/07,Faqueiro
1876,utilidades domesticas,2021/02/07,Jogo de panelas
1877,moveis,2021/02/07,Cadeira de escritório
1878,livros,2021/02/07,Iniciando em programação
1879,eletrodomesticos,2021/02/07,Secadora de roupas
1880,instrumentos musicais,2021/02/07,Bateria
1881,instrumentos musicais,2021/02/07,Pandeiro
1882,moveis,2021/02/07,Mesa de centro
1883,gadgets,2022/02/07,Impressora
1884,moveis,2022/02/07,Mesa de centro
1885,eletrodomesticos,2022/02/07,Fogão
1886,esporte e lazer,2022/02/07,Copo térmico
1887,brinquedos,2022/02/07,Dinossauro Rex
1888,moveis,2022/02/07,Poltrona
1889,esporte e lazer,2022/02/07,Mochila
1890,utilidades domesticas,2022/02/07,Jogo de panelas
1891,esporte e lazer,2023/02/07,Mochila
1892,moveis,2023/02/07,Cama king
1893,moveis,2023/02/07,Cama box
1894,eletrodomesticos,2023/02/07,Fogão
1895,eletrodomesticos,2023/02/07,Secadora de roupas
1896,esporte e lazer,2023/02/07,Bola de basquete
1897,moveis,2020/03/07,Sofá retrátil
1898,moveis,2020/03/07,Kit banquetas
1899,gadgets,2020/03/07,Tablet ABXY
1900,moveis,2020/03/07,Poltrona
1901,brinquedos,2020/03/07,Boneca bebê
1902,gadgets,2020/03/07,Fone de ouvido
1903,brinquedos,2020/03/07,Cubo mágico 8x8
1904,gadgets,2020/03/07,Smartwatch
1905,moveis,2020/03/07,Cadeira de escritório
1906,utilidades domesticas,2020/03/07,Faqueiro
1907,brinquedos,2020/03/07,Jogo de tabuleiro
1908,utilidades domesticas,2021/03/07,Faqueiro
1909,eletrodomesticos,2021/03/07,Lava louças
1910,esporte e lazer,2021/03/07,Bola de vôlei
1911,brinquedos,2021/03/07,Xadrez de madeira
1912,brinquedos,2021/03/07,Blocos de montar
1913,brinquedos,2021/03/07,Jogo de tabuleiro
1914,gadgets,2021/03/07,Fone de ouvido
1915,gadgets,2021/03/07,Celular ABXY
1916,gadgets,2022/03/07,Impressora
1917,gadgets,2022/03/07,Tablet ABXY
1918,instrumentos musicais,2022/03/07,Bateria
1919,instrumentos musicais,2022/03/07,Pandeiro
1920,brinquedos,2022/03/07,Jogo de tabuleiro
1921,gadgets,2022/03/07,Smart TV
1922,esporte e lazer,2023/03/07,Bola de vôlei
1923,esporte e lazer,2023/03/07,Corda de pular
1924,esporte e lazer,2023/03/07,Copo térmico
1925,brinquedos,2023/03/07,Jogo de tabuleiro
1926,gadgets,2023/03/07,Headset
1927,eletrodomesticos,2023/03/07,Micro-ondas
1928,moveis,2020/04/07,Cômoda
1929,livros,2020/04/07,Iniciando em programação
1930,moveis,2020/04/07,Cama box
1931,esporte e lazer,2020/04/07,Bola de basquete
1932,eletrodomesticos,2020/04/07,Secadora de roupas
1933,brinquedos,2020/04/07,Carrinho controle remoto
1934,gadgets,2020/04/07,Smartwatch
1935,gadgets,2020/04/07,Smartwatch
1936,eletrodomesticos,2020/04/07,Lava louças
1937,eletrodomesticos,2021/04/07,Lavadora de roupas
1938,utilidades domesticas,2021/04/07,Faqueiro
1939,esporte e lazer,2021/04/07,Bola de basquete
1940,moveis,2021/04/07,Mesa de jantar
1941,moveis,2021/04/07,Poltrona
1942,gadgets,2021/04/07,Assistente virtual
1943,gadgets,2022/04/07,Smartwatch
1944,brinquedos,2022/04/07,Carrinho controle remoto
1945,gadgets,2022/04/07,Headset
1946,brinquedos,2022/04/07,Cubo mágico 8x8
1947,moveis,2022/04/07,Cama box
1948,moveis,2020/05/07,Cama box
1949,gadgets,2020/05/07,TV Led UHD 4K
1950,instrumentos musicais,2020/05/07,Guitarra
1951,utilidades domesticas,2021/05/07,Panela de pressão
1952,moveis,2021/05/07,Sofá retrátil
1953,livros,2021/05/07,Modelagem preditiva
1954,moveis,2021/05/07,Guarda roupas
1955,moveis,2021/05/07,Guarda roupas
1956,instrumentos musicais,2021/05/07,Violão
1957,esporte e lazer,2021/05/07,Bola de basquete
1958,gadgets,2021/05/07,Celular Plus X42
1959,utilidades domesticas,2022/05/07,Jogo de copos
1960,gadgets,2022/05/07,TV Led UHD 4K
1961,eletrodomesticos,2022/05/07,Lava louças
1962,esporte e lazer,2022/05/07,Bicicleta
1963,moveis,2020/06/07,Cama box
1964,gadgets,2020/06/07,Tablet ABXY
1965,gadgets,2020/06/07,Smart TV
1966,moveis,2021/06/07,Poltrona
1967,eletrodomesticos,2021/06/07,Micro-ondas
1968,instrumentos musicais,2021/06/07,Pandeiro
1969,moveis,2021/06/07,Cadeira de escritório
1970,esporte e lazer,2021/06/07,Mochila
1971,livros,2021/06/07,Modelagem preditiva
1972,gadgets,2022/06/07,Fone de ouvido
1973,moveis,2022/06/07,Mesa de jantar
1974,moveis,2022/06/07,Cama king
1975,utilidades domesticas,2022/06/07,Jogo de copos
1976,instrumentos musicais,2022/06/07,Guitarra
1977,moveis,2022/06/07,Cama box
1978,eletrodomesticos,2022/06/07,Secadora de roupas
1979,esporte e lazer,2020/07/07,Mochila
1980,gadgets,2020/07/07,Smart TV
1981,livros,2020/07/07,Modelagem preditiva
1982,brinquedos,2020/07/07,Carrinho controle remoto
1983,brinquedos,2020/07/07,Boneca bebê
1984,instrumentos musicais,2020/07/07,Guitarra
1985,instrumentos musicais,2021/07/07,Violão
1986,eletrodomesticos,2021/07/07,Lava louças
1987,esporte e lazer,2021/07/07,Copo térmico
1988,gadgets,2021/07/07,Celular Plus X42
1989,brinquedos,2021/07/07,Xadrez de madeira
1990,gadgets,2021/07/07,Celular Plus X42
1991,utilidades domesticas,2021/07/07,Jogo de copos
1992,instrumentos musicais,2021/07/07,Pandeiro
1993,eletrodomesticos,2022/07/07,Lavadora de roupas
1994,instrumentos musicais,2022/07/07,Bateria
1995,gadgets,2022/07/07,Assistente virtual
1996,utilidades domesticas,2022/07/07,Jogo de panelas
1997,brinquedos,2022/07/07,Cubo mágico 8x8
1998,moveis,2020/08/07,Mesa de jantar
1999,moveis,2020/08/07,Mesa de jantar
2000,instrumentos musicais,2020/08/07,Bateria
2001,instrumentos musicais,2020/08/07,Violão
2002,moveis,2020/08/07,Cama king
2003,instrumentos musicais,2020/08/07,Bateria
2004,esporte e lazer,2020/08/07,Bola de vôlei
2005,moveis,2021/08/07,Guarda roupas
2006,eletrodomesticos,2021/08/07,Secadora de roupas
2007,utilidades domesticas,2021/08/07,Panela de pressão
2008,brinquedos,2021/08/07,Boneca bebê
2009,gadgets,2021/08/07,Fone de ouvido
2010,esporte e lazer,2021/08/07,Corda de pular
2011,esporte e lazer,2021/08/07,Bicicleta
2012,eletrodomesticos,2021/08/07,Micro-ondas
2013,eletrodomesticos,2021/08/07,Secadora de roupas
2014,instrumentos musicais,2022/08/07,Pandeiro
2015,esporte e lazer,2022/08/07,Copo térmico
2016,brinquedos,2022/08/07,Cubo mágico 8x8
2017,moveis,2022/08/07,Guarda roupas
2018,esporte e lazer,2022/08/07,Bicicleta
2019,gadgets,2022/08/07,Headset
2020,eletrodomesticos,2022/08/07,Micro-ondas
2021,eletrodomesticos,2020/09/07,Lava louças
2022,instrumentos musicais,2020/09/07,Violão
2023,eletrodomesticos,2020/09/07,Lavadora de roupas
2024,gadgets,2020/09/07,Celular ABXY
2025,gadgets,2020/09/07,Smart TV
2026,utilidades domesticas,2020/09/07,Faqueiro
2027,moveis,2021/09/07,Cômoda
2028,moveis,2021/09/07,Cama king
2029,gadgets,2021/09/07,TV Led UHD 4K
2030,esporte e lazer,2021/09/07,Bola de vôlei
2031,gadgets,2021/09/07,Tablet ABXY
2032,instrumentos musicais,2021/09/07,Bateria
2033,gadgets,2022/09/07,Celular Plus X42
2034,eletrodomesticos,2022/09/07,Fogão
2035,eletrodomesticos,2022/09/07,Geladeira
2036,brinquedos,2022/09/07,Xadrez de madeira
2037,eletrodomesticos,2022/09/07,Fogão
2038,brinquedos,2022/09/07,Dinossauro Rex
2039,instrumentos musicais,2022/09/07,Pandeiro
2040,livros,2022/09/07,Iniciando em programação
2041,esporte e lazer,2020/10/07,Bola de basquete
2042,brinquedos,2020/10/07,Boneca bebê
2043,livros,2020/10/07,Dashboards com Power BI
2044,eletrodomesticos,2020/10/07,Lavadora de roupas
2045,gadgets,2020/10/07,Impressora
2046,eletrodomesticos,2021/10/07,Micro-ondas
2047,eletrodomesticos,2021/10/07,Secadora de roupas
2048,gadgets,2021/10/07,Fone de ouvido
2049,utilidades domesticas,2021/10/07,Jogo de panelas
2050,moveis,2021/10/07,Kit banquetas
2051,gadgets,2021/10/07,Headset
2052,gadgets,2021/10/07,Tablet ABXY
2053,livros,2021/10/07,Modelagem preditiva
2054,livros,2022/10/07,Ciência de dados com python
2055,livros,2022/10/07,Iniciando em programação
2056,esporte e lazer,2022/10/07,Corda de pular
2057,moveis,2022/10/07,Cama king
2058,gadgets,2022/10/07,Assistente virtual
2059,moveis,2022/10/07,Cama box
2060,moveis,2022/10/07,Cama box
2061,gadgets,2022/10/07,Celular ABXY
2062,gadgets,2022/10/07,Fone de ouvido
2063,eletrodomesticos,2020/11/07,Lava louças
2064,esporte e lazer,2020/11/07,Bola de vôlei
2065,gadgets,2020/11/07,Smartwatch
2066,instrumentos musicais,2020/11/07,Pandeiro
2067,moveis,2020/11/07,Cadeira de escritório
2068,eletrodomesticos,2021/11/07,Micro-ondas
2069,eletrodomesticos,2021/11/07,Lavadora de roupas
2070,brinquedos,2021/11/07,Cubo mágico 8x8
2071,moveis,2021/11/07,Mesa de jantar
2072,moveis,2021/11/07,Mesa de centro
2073,brinquedos,2021/11/07,Blocos de montar
2074,moveis,2021/11/07,Guarda roupas
2075,gadgets,2021/11/07,Celular ABXY
2076,gadgets,2021/11/07,Smartwatch
2077,gadgets,2021/11/07,Assistente virtual
2078,eletrodomesticos,2022/11/07,Secadora de roupas
2079,moveis,2022/11/07,Cômoda
2080,esporte e lazer,2022/11/07,Bola de basquete
2081,gadgets,2022/11/07,Assistente virtual
2082,esporte e lazer,2022/11/07,Corda de pular
2083,gadgets,2020/12/07,Impressora
2084,gadgets,2020/12/07,Assistente virtual
2085,eletrodomesticos,2020/12/07,Fogão
2086,eletrodomesticos,2020/12/07,Geladeira
2087,eletrodomesticos,2020/12/07,Fogão
2088,utilidades domesticas,2020/12/07,Faqueiro
2089,utilidades domesticas,2021/12/07,Jogo de copos
2090,livros,2021/12/07,Ciência de dados com python
2091,brinquedos,2021/12/07,Dinossauro Rex
2092,gadgets,2021/12/07,TV Led UHD 4K
2093,instrumentos musicais,2021/12/07,Pandeiro
2094,utilidades domesticas,2021/12/07,Jogo de panelas
2095,gadgets,2022/12/07,Headset
2096,gadgets,2022/12/07,Assistente virtual
2097,moveis,2022/12/07,Cama box
2098,livros,2022/12/07,Ciência de dados com python
2099,moveis,2022/12/07,Cama box
2100,gadgets,2022/12/07,Smart TV
2101,esporte e lazer,2020/01/08,Mochila
2102,eletrodomesticos,2020/01/08,Micro-ondas
2103,gadgets,2020/01/08,Celular ABXY
